"Sample"	"BP.uMC"	"BR.uMO2"	"BGE"
"Tank_01"	0.241	0.671	0.264
"Tank_02"	0.177	1.12	0.136
"Tank_03"	0.031	1.07	0.028
"Tank_04"	0.034	0.878	0.037
"Tank_05"	0.264	1.63	0.139
"Tank_06"	0.122	0.577	0.175
"Tank_07"	0.256	0.883	0.225
"Tank_08"	0.437	1.23	0.262
"Tank_09"	0.016	0.986	0.016
"Tank_10"	0.237	0.948	0.2
"Tank_11"	0.109	0.81	0.119
"Tank_12"	0.184	0.897	0.17
"Tank_13"	0.16	0.395	0.288
"Tank_14"	0.301	0.25	0.546
"Tank_15"	0.114	0.782	0.127
"Tank_16"	0.093	0.293	0.241
"Tank_17"	0.118	0.377	0.238
"Tank_18"	0.266	0.31	0.462
"Tank_19"	0.026	0.497	0.05
"Tank_20"	0.137	0.381	0.264
"Tank_21"	0.059	0.319	0.156
"Tank_22"	0.247	0.295	0.456
"Tank_23"	0.053	0.506	0.095
"Tank_24"	0.18	0.376	0.324
